qpoint_index branchID frequency groupVel_x groupVel_y groupVel_z DOS gruneisen_param
Max bandID: 6
Max qpoint index: 1728
28 4 22.9888746058 0.1467802 0.1467802 -14.7674453 0.3145308316 1.2217258248
28 5 23.1161715693 -7.9168061 -7.9168061 -17.5599116 0.6430335768 1.2218635728
28 6 28.0482290510 22.5623405 22.5623405 -33.7076770 1.4526434810 1.0446352340
29 1 8.1467674879 5.3378340 5.3378340 85.8065621 0.6560124814 0.2937112339
29 2 8.8389132241 -3.8169662 -3.8169662 124.7850690 0.4431136151 0.4564338608
29 3 13.1065170187 -65.9019561 -65.9019561 96.6829103 0.3237994789 0.9385459178
29 4 22.9388822871 -1.4685840 -1.4685840 -2.4112614 0.2621906707 1.2604486366
29 5 23.0680237125 0.4945576 0.4945576 -7.6513951 0.2213976518 1.2625253216
29 6 26.9232919478 33.7118987 33.7118987 -52.6851953 0.1671422869 1.0556562647
30 1 8.7534633503 11.8608706 11.8608706 66.6657838 0.1484289308 0.2100378689
30 2 9.9356952263 19.5324206 19.5324206 121.4821735 0.1396338734 0.4712158738
30 3 15.2603951916 -69.4755397 -69.4755397 50.8347988 0.1292666817 0.9383453612
30 4 22.8688688972 3.8658485 3.8658485 -9.7618473 0.1178582020 1.2908484752
30 5 22.9855571812 1.9790029 1.9790029 -2.2437697 0.1100539265 1.2775508891
30 6 25.8997038903 25.9430341 25.9430341 -24.9715124 0.1120196531 1.0832803522
31 1 9.0011163560 21.5571181 21.5571181 48.9762579 0.1179464660 0.1183314460
31 2 10.5429084828 38.7789161 38.7789161 116.4203569 0.1358136804 0.4864018893
31 3 16.7999585950 -51.6720586 -51.6720586 -0.2809819 0.2082330146 0.9247870792
31 4 22.6207682248 5.0457869 5.0457869 -14.8499627 0.0118593069 1.3126988590
31 5 22.9422628355 -0.2260126 -0.2260126 -3.5407911 0.0000000000 1.2598607122
31 6 25.3669606270 14.0538027 14.0538027 0.6624941 0.0000000000 1.1302072494
32 1 8.8911605278 30.8414366 30.8414366 35.0722800 0.0000000000 0.0529441833
32 2 10.7456244810 53.9316200 53.9316200 108.9041677 0.0000000000 0.5178859209
32 3 17.1255802510 -3.9409937 -3.9409937 -56.6034335 0.0000000000 0.9284022550
32 4 22.4749441725 -2.5841002 -2.5841002 -7.5205301 0.0000000000 1.3135886205
32 5 22.9649929326 -5.2640830 -5.2640830 0.9507911 0.0000000000 1.2415984667
32 6 25.3527760767 -0.9163235 -0.9163235 21.2070220 0.0000000000 1.1422189126
33 1 8.4548171195 40.9041536 40.9041536 21.0712644 0.0000000000 0.0537637117
33 2 10.5602268134 67.7520758 67.7520758 98.0449499 0.0000000000 0.5623380305
33 3 15.8190031819 50.9923833 50.9923833 -94.0648396 0.0000000000 0.9689558189
33 4 22.5255563306 -6.9630459 -6.9630459 -4.7797584 0.0000000000 1.2921602207
