kpoint_index bandID energy groupVel_x groupVel_y groupVel_z DOS fermiEnergy
Max kpoint index: 216
Max bandID: 3
38 3 0.597427 0.503184 0.000000 0.000000 3.000000000000000 0.597427
39 1 0.332032 0.643608 -0.713038 0.713038 1.000000000000000 0.332032
39 2 0.547572 0.782100 0.108669 -0.108670 2.000000000000000 0.547572
39 3 0.550560 0.418346 0.108696 -0.108695 3.000000000000000 0.550560
40 1 0.109051 0.150024 -0.476524 0.476524 1.000000000000000 0.109051
40 2 0.476043 0.975327 0.267442 -0.267442 2.000000000000000 0.476043
40 3 0.549760 0.233481 0.211033 -0.211032 3.000000000000000 0.549760
41 1 0.172334 -0.758135 0.458315 -0.458315 1.000000000000000 0.172334
41 2 0.444291 0.933736 0.457423 -0.457423 2.000000000000000 0.444291
41 3 0.593929 0.027457 0.250359 -0.250358 3.000000000000000 0.593929
42 1 0.396379 -0.000000 0.706518 -0.706518 1.000000000000000 0.396379
42 2 0.499625 0.000000 0.557896 -0.557896 2.000000000000000 0.499625
42 3 0.651064 0.000000 0.157960 -0.157960 3.000000000000000 0.651064
43 1 0.551488 -0.000000 0.000000 -0.806495 1.000000000000000 0.551488
43 2 0.597427 -0.000000 0.000000 -0.503184 2.000000000000000 0.597427
43 3 0.597427 -0.000000 0.000000 -0.503184 3.000000000000000 0.597427
44 1 0.507468 0.717862 -0.717862 -0.717862 1.000000000000000 0.507468
44 2 0.654765 -0.084877 -0.292621 -0.292621 2.000000000000000 0.654765
44 3 0.654765 0.292621 0.084877 0.084877 3.000000000000000 0.654765
45 1 0.396379 0.706518 -0.706518 0.000000 1.000000000000000 0.396379
45 2 0.499625 0.557896 -0.557896 0.000000 2.000000000000000 0.499625
45 3 0.651064 0.157960 -0.157960 0.000000 3.000000000000000 0.651064
46 1 0.172334 0.458315 -0.458315 0.758135 1.000000000000000 0.172334
46 2 0.444291 0.457423 -0.457423 -0.933736 2.000000000000000 0.444291
46 3 0.593929 0.250358 -0.250358 -0.027457 3.000000000000000 0.593929
47 1 0.109051 -0.476524 0.476524 -0.150024 1.000000000000000 0.109051
47 2 0.476043 0.267442 -0.267442 -0.975327 2.000000000000000 0.476043
47 3 0.549760 0.211032 -0.211032 -0.233481 3.000000000000000 0.549760
48 1 0.332032 -0.713038 0.713038 -0.643608 1.000000000000000 0.332032
48 2 0.547572 0.108670 -0.108670 -0.782100 2.000000000000000 0.547572
48 3 0.550560 0.108696 -0.108696 -0.418346 3.000000000000000 0.550560
49 1 0.332032 -0.713038 -0.713038 -0.643608 1.000000000000000 0.332032
49 2 0.547572 0.108670 0.108669 -0.782100 2.000000000000000 0.547572
49 3 0.550560 0.108695 0.108696 -0.418346 3.000000000000000 0.550560
50 1 0.396379 -0.000000 -0.706518 -0.706518 1.000000000000000 0.396379
50 2 0.499625 -0.000000 -0.557896 -0.557896 2.000000000000000 0.499625
50 3 0.651064 -0.000000 -0.157960 -0.157960 3.000000000000000 0.651064
51 1 0.332032 0.713038 -0.643609 -0.713038 1.000000000000000 0.332032
51 2 0.547572 -0.108670 -0.782101 0.108670 2.000000000000000 0.547572
51 3 0.550560 -0.108696 -0.418347 0.108696 3.000000000000000 0.550560
52 1 0.246441 0.429876 -0.503252 -0.000000 1.000000000000000 0.246441
52 2 0.376931 0.607013 -0.355750 -0.000000 2.000000000000000 0.376931
52 3 0.500703 -0.173766 -0.824437 0.000000 3.000000000000000 0.500703
53 1 0.138105 -0.000000 0.259165 0.259165 1.000000000000000 0.138105
53 2 0.333058 -0.000000 -0.508277 -0.508277 2.000000000000000 0.333058
53 3 0.448761 -0.000000 -0.530871 -0.530871 3.000000000000000 0.448761
54 1 0.246441 -0.429876 -0.000000 -0.503252 1.000000000000000 0.246441
54 2 0.376931 -0.607014 -0.000000 -0.355750 2.000000000000000 0.376931
54 3 0.500703 0.173766 -0.000000 -0.824437 3.000000000000000 0.500703
55 1 0.109051 -0.476524 -0.476524 -0.150024 1.000000000000000 0.109051
55 2 0.476043 0.267442 0.267442 -0.975327 2.000000000000000 0.476043
55 3 0.549760 0.211032 0.211033 -0.233481 3.000000000000000 0.549760
56 1 0.172334 -0.758135 -0.458315 -0.458315 1.000000000000000 0.172334
56 2 0.444291 0.933736 -0.457423 -0.457423 2.000000000000000 0.444291
56 3 0.593929 0.027457 -0.250358 -0.250358 3.000000000000000 0.593929
57 1 0.246441 0.000000 -0.503252 -0.429876 1.000000000000000 0.246441
